Time,Stage
-3180,5
300.01,3
330.01,2
390.01,5
450.01,3
480.01,2
930.01,1
960.01,2
1020.01,1
1050.01,2
1110.01,1
1140.01,2
1200.01,1
2640.01,5
2670.01,3
2730.01,2
3210.01,1
3450.01,2
3480.01,1
3990.01,2
4110.01,4
4260.01,2
4320.01,5
4350.01,2
4470.01,5
4500.01,3
4530.01,4
4560.01,2
4620.01,5
4650.01,3
4680.01,2
4710.01,4
4830.01,2
4980.01,4
5280.01,5
5310.01,3
5340.01,2
6570.01,1
6630.01,2
6690.01,1
6720.01,2
6750.01,1
6780.01,2
6810.01,1
6900.01,2
6930.01,1
6990.01,2
7020.01,1
7110.01,2
7140.01,1
7890.01,3
7950.01,5
7980.01,3
8010.01,2
8070.01,3
8100.01,2
8610.01,3
8640.01,2
8730.01,3
8760.01,2
9510.01,4
10290.01,5
10710.01,3
10740.01,2
10800.01,5
10830.01,3
10890.01,2
11430.01,5
11460.01,2
12120.01,3
12150.01,2
12750.01,3
12780.01,2
13230.01,3
13260.01,2
13590.01,4
13830.01,2
13920.01,3
13950.01,4
15120.01,3
15150.01,4
15420.01,2
16230.01,5
16260.01,3
16290.01,2
16740.01,3
16770.01,2
17130.01,1
17160.01,2
17490.01,1
17520.01,2
17550.01,1
17580.01,2
17610.01,1
17670.01,2
18240.01,3
18270.01,2
18690.01,3
18720.01,2
19230.01,4
19620.01,5
19650.01,3
19710.01,2
19740.01,3
19770.01,4
19980.01,3
20010.01,4
20310.01,3
20400.01,5
20430.01,3
20460.01,5
20610.01,3
20640.01,2
22110.01,5
22140.01,3
22200.01,2
22860.01,3
22890.01,2
23070.01,3
23100.01,2
23160.01,3
23190.01,2
23250.01,4
23580.01,5
23610.01,3
23640.01,4
23760.01,3
23790.01,4
23880.01,3
23910.01,4
24240.01,3
24270.01,4
24690.01,2
24900.01,5
24930.01,2
25230.01,3
25260.01,2
25560.01,5
25620.01,2
26520.01,5
26550.01,2
26730.01,3
26760.01,2
27660.01,4
27780.01,5
27810.01,4
28050.01,3
28080.01,4
28560.01,3
28590.01,5
28620.01,3
28650.01,4
28770.01,5
28800.01,4
29250.01,3
29430.01,2
29820.01,5
29850.01,3
29880.01,2
30630.01,5
31830.02,0
